"Small Bottom Face Disp"
"Time (sec)","Linear Displacement3 (mm)"
1.332,-35.569559333535
1.336,-35.3380203038337
1.34,-35.1130875142495
1.344,-34.8952437587736
1.348,-34.6849526165771
1.352,-34.4826578382094
1.356,-34.2887827970022
1.36,-34.1037300021875
1.364,-33.9278806699861
1.368,-33.7615943487261
1.372,-33.6052085939132
1.376,-33.4590386890905
1.38,-33.3233774083039
1.384,-33.19849481601
1.388,-33.0846381003526
1.392,-32.9820314358536
1.396,-32.8908758717473
1.4,-32.8113492424028
1.404,-32.7436060965395
1.408,-32.687777642235
1.412,-32.6439717050538
1.416,-32.6122726969792
1.42,-32.5927415942122
1.424,-32.5854159222994
1.428,-32.5903097474691
1.432,-32.6074136734796
1.436,-32.6366948437186
1.44,-32.6780969487286
1.444,-32.731540239767
1.448,-32.7969215494391
1.452,-32.8741143208593
1.456,-32.962968647199
1.46,-33.0633113238653
1.464,-33.174945915913
1.468,-33.2976528436272
1.472,-33.431189489518
1.476,-33.5752903302294
1.48,-33.7296670970998
1.484,-33.8940089692894
1.488,-34.067982803533
1.492,-34.2512334046648
1.496,-34.443383841101
1.5,-34.6440358094501
1.504,-34.8527700523505
1.508,-35.0691468335086
1.512,-35.2927064737234
1.516,-35.5229699514455
1.52,-35.7594395711177
1.524,-36.0015997021905
1.528,-36.2489175913025
1.532,-36.5008442496547
1.536,-36.7568154171065
1.54,-37.0162526039747
1.544,-37.2785642109312
1.548,-37.5431467267802
1.552,-37.809386003251
1.556,-38.0766586052812
1.56,-38.3443332345888
1.564,-38.6117722236481
1.568,-38.8783330965067
1.572,-39.1433701922076
1.576,-39.406236345925
1.58,-39.6662846222903
1.584,-39.9228700947863
1.588,-40.1753516645175
1.592,-40.4230939111503
1.596,-40.6654689683394
1.6,-40.901858415543
1.604,-41.1316551777686
1.608,-41.354265424494
1.612,-41.5691104587798
1.616,-41.7756285874221
1.62,-41.9732769629045
1.624,-42.1615333878808
1.628,-42.3398980729661
1.632,-42.5078953387337
1.636,-42.6650752529919
1.64,-42.8110151946711
1.644,-42.9453213359629
1.648,-43.0676300347281
1.652,-43.1776091296252
1.656,-43.2749591308957
1.66,-43.3594143002828
1.664,-43.4307436141407
1.668,-43.488751604417
1.672,-43.5332790728521
1.676,-43.5642036744323
1.68,-43.5814403668516
1.684,-43.5849417234802
1.688,-43.5746981080961
1.692,-43.5507377104037
1.696,-43.5131264421431
1.7,-43.461967694368
1.704,-43.397401957247
1.708,-43.3196063045045
1.712,-43.2287937453718
1.716,-43.1252124476477
1.72,-43.0091448361753
1.724,-42.8809065717206
1.728,-42.7408454158822
1.732,-42.5893399882638
1.736,-42.4267984227052
1.74,-42.2536569298806
1.744,-42.0703782740299
1.748,-41.8774501720009
1.752,-41.6753836231194
1.756,-41.4647111786915
1.76,-41.2459851601579
1.764,-41.0197758350717
1.768,-40.7866695601534
1.772,-40.5472669006845
1.776,-40.3021807354488
1.78,-40.0520343562966
1.784,-39.7974595712127
1.788,-39.5390948195058
1.792,-39.2775833074079
1.796,-39.0135711719849
1.8,-38.7477056808156
1.804,-38.480633474397
1.808,-38.2129988576948
1.812,-37.9454421466708
1.816,-37.6785980750052
1.82,-37.413094265584
1.824,-37.149549770661
1.828,-36.8885736839244
1.832,-36.6307638270165
1.836,-36.3767055123771
1.84,-36.1269703836068
1.844,-35.8821153338976
1.848,-35.6426815024418
1.852,-35.4091933481343
1.856,-35.1821577993122
1.86,-34.9620634777537
1.864,-34.7493799946729
1.868,-34.5445573160193
1.872,-34.3480251940055
1.876,-34.1601926614623
1.88,-33.9814475853506
1.884,-33.8121562755427
1.888,-33.6526631448329
1.892,-33.5032904160349
1.896,-33.3643378719819
1.9,-33.2360826442567
1.904,-33.1187790365412
1.908,-33.012658378592
1.912,-32.9179289070078
1.916,-32.8347756691626
1.92,-32.763360446924
1.924,-32.7038216970621
1.928,-32.6562745055713
1.932,-32.6208105534751
1.936,-32.5974980920562
1.94,-32.5863819258504
1.944,-32.5874834021499
1.948,-32.6008004061893
1.952,-32.6263073616174
1.956,-32.6639552362935
1.96,-32.7136715538835
1.964,-32.7753604121612
1.968,-32.8489025093425
1.972,-32.9341551801877
1.976,-33.0309524439976
1.98,-33.1391050669984
1.984,-33.2584006419528
1.988,-33.3886036881451
1.992,-33.529455775169
1.996,-33.6806756741846
2,-33.8419595405101
2.004,-34.0129811315673
2.008,-34.1933920643066
2.012,-34.3828221162881
2.016,-34.5808795746031
2.02,-34.7871516367602
2.024,-35.0012048675567
2.028,-35.222585715784
2.032,-35.4508210943968
2.036,-35.68541902749
2.04,-35.9258693670946
2.044,-36.1716445824125
2.048,-36.4222006236661
2.052,-36.6769778622534
2.056,-36.9354021083616
2.06,-37.1968857066219
2.064,-37.4608287097781
2.068,-37.7266201297108
2.072,-37.9936392644964
2.076,-38.2612570995104
2.08,-38.5288377799043
2.084,-38.7957401511002
2.088,-39.0613193632778
2.092,-39.3249285351602
2.096,-39.5859204717717
2.1,-39.8436494302246
2.104,-40.0974729270178
2.108,-40.3467535797938
2.112,-40.5908609760149
2.116,-40.8291735605811
2.12,-41.0610805340393
2.124,-41.2859837527123
2.128,-41.5032996218282
2.132,-41.7124609725431
2.136,-41.9129189136374
2.14,-42.1041446486167
2.144,-42.2856312489755
2.148,-42.4568953744732
2.152,-42.6174789314382
2.156,-42.7669506603414
2.16,-42.9049076441779
2.164,-43.0309767295524
2.168,-43.144815852777
2.172,-43.2461152637634
2.176,-43.3345986410125
2.18,-43.4100240915737
2.184,-43.4721850304589
2.188,-43.5209109346454
2.192,-43.5560679674865
2.196,-43.5775594700599
2.2,-43.5853263167185
2.204,-43.5793471328539
2.208,-43.5596383737245
2.212,-43.5262542637084
2.216,-43.479286596654
2.22,-43.4188643981069
2.224,-43.345153451497
2.228,-43.2583556908557
2.232,-43.1587084634479
2.236,-43.0464836664113
2.24,-42.9219867621778
2.244,-42.7855556781137
2.248,-42.6375595964261
2.252,-42.4783976409613
2.256,-42.3084974680508
2.26,-42.1283137690337
